"","X","st","log.inv.age1","log.inv.prec.age1","agegrp","period","N_swabs","pop_offset_IPD","IPD_blurred","N_carr_blurred"
"1",1,"1",6.00808194274783,14.6352374017038,4,1,1918,2302.9794375,7,6
"2",2,"1",6.00808194274783,14.6352374017038,2,2,3329,5094.192,30,8
"3",3,"1",6.00808194274783,14.6352374017038,4,2,3329,4206.696,34,10
"4",4,"1",6.00808194274783,14.6352374017038,3,3,3259,2435.0243034,8,4
"5",5,"1",6.00808194274783,14.6352374017038,1,0,1077,1559.511,26,4
"6",6,"1",6.00808194274783,14.6352374017038,1,2,3329,1610.316,24,15
"7",7,"1",6.00808194274783,14.6352374017038,2,3,3259,2046.5561435,5,7
"8",8,"1",6.00808194274783,14.6352374017038,2,1,1918,3547.3925625,12,9
"9",9,"1",6.00808194274783,14.6352374017038,3,1,1918,3693.6125,8,10
"10",10,"1",6.00808194274783,14.6352374017038,3,2,3329,5747.136,16,10
"11",11,"1",6.00808194274783,14.6352374017038,3,0,1077,4963.884,40,13
"12",12,"1",6.00808194274783,14.6352374017038,1,1,1918,1070.6159375,11,4
"13",13,"1",6.00808194274783,14.6352374017038,4,3,3259,1899.7218255,10,10
"14",14,"1",6.00808194274783,14.6352374017038,4,0,1077,2755.251,38,10
"15",15,"1",6.00808194274783,14.6352374017038,1,3,3259,682.89472565,3,9
"16",16,"1",6.00808194274783,14.6352374017038,2,0,1077,4685.025,25,7
"17",17,"10A",3.20931701429075,4.01566315050816,2,3,3259,2046.5561435,3,55
"18",18,"10A",3.20931701429075,4.01566315050816,4,0,1077,2755.251,10,18
"19",19,"10A",3.20931701429075,4.01566315050816,1,0,1077,1559.511,4,18
"20",20,"10A",3.20931701429075,4.01566315050816,1,3,3259,682.89472565,11,60
"21",21,"10A",3.20931701429075,4.01566315050816,3,3,3259,2435.0243034,9,57
"22",22,"10A",3.20931701429075,4.01566315050816,4,1,1918,2302.9794375,8,13
"23",23,"10A",3.20931701429075,4.01566315050816,4,3,3259,1899.7218255,10,59
"24",24,"10A",3.20931701429075,4.01566315050816,3,2,3329,5747.136,12,70
"25",25,"10A",3.20931701429075,4.01566315050816,1,2,3329,1610.316,6,68
"26",26,"10A",3.20931701429075,4.01566315050816,2,0,1077,4685.025,6,20
"27",27,"10A",3.20931701429075,4.01566315050816,1,1,1918,1070.6159375,8,11
"28",28,"10A",3.20931701429075,4.01566315050816,3,0,1077,4963.884,5,17
"29",29,"10A",3.20931701429075,4.01566315050816,4,2,3329,4206.696,11,72
"30",30,"10A",3.20931701429075,4.01566315050816,2,1,1918,3547.3925625,3,15
"31",31,"10A",3.20931701429075,4.01566315050816,2,2,3329,5094.192,9,70
"32",32,"10A",3.20931701429075,4.01566315050816,3,1,1918,3693.6125,8,13
